Differential_pressure,Flow_rate,Time,Dust_feed,RUL,"Dust_ISO 12103-1, A3 Medium Test Dust","Dust_ISO 12103-1, A2 Fine Test Dust","Dust_ISO 12103-1, A4 Coarse Test Dust"
2.622251,55.52414587973,0.4,236.428943198285,58.6,1,0,0
3.888165,55.8520178971313,0.5,236.428943198285,58.5,1,0,0
4.521122,56.1302033811896,0.6,236.428943198285,58.4,1,0,0
4.521122,56.1500699350728,0.7,236.428943198285,58.3,1,0,0
4.521122,56.0904568409999,0.8,236.428943198285,58.2,1,0,0
5.787037,55.583758973803,0.9,236.428943198285,58.1,1,0,0
4.521122,56.1003968341531,1.0,236.428943198285,58.0,1,0,0
4.521122,56.0010371998905,1.1,236.428943198285,57.9,1,0,0
4.521122,56.0010371998905,1.2,236.428943198285,57.8,1,0,0
4.521122,56.1103368273063,1.3,236.428943198285,57.7,1,0,0
5.787037,56.0109771930437,1.4,236.428943198285,57.6,1,0,0
5.787037,56.6468412415398,1.5,236.428943198285,57.5,1,0,0
5.787037,56.279236116372,1.6,236.428943198285,57.4,1,0,0
5.787037,56.1997430359926,1.7,236.428943198285,57.3,1,0,0
5.787037,56.2494295693355,1.8,236.428943198285,57.2,1,0,0
5.787037,56.0010371998905,1.9,236.428943198285,57.1,1,0,0
6.419994,56.279236116372,2.0,236.428943198285,57.0,1,0,0
6.419994,56.3090426634085,2.1,236.428943198285,56.9,1,0,0
6.419994,56.279236116372,2.2,236.428943198285,56.8,1,0,0
5.787037,55.9811706460072,2.3,236.428943198285,56.7,1,0,0
5.787037,55.9613040921239,2.4,236.428943198285,56.6,1,0,0
5.787037,56.289162677102,2.5,236.428943198285,56.5,1,0,0
5.787037,56.2593561300655,2.6,236.428943198285,56.4,1,0,0
5.787037,56.289162677102,2.7,236.428943198285,56.3,1,0,0
5.696614,56.7064543356127,2.8,236.428943198285,56.2,1,0,0
6.329571,56.2991026702552,2.9,236.428943198285,56.1,1,0,0
6.329571,56.1898164752626,3.0,236.428943198285,56.0,1,0,0
5.967882,56.4083888652479,3.1,236.428943198285,55.9,1,0,0
5.967882,56.0904568409999,3.2,236.428943198285,55.8,1,0,0
4.701968,56.3189692241385,3.3,236.428943198285,55.7,1,0,0
5.87746,56.0606502939634,3.4,236.428943198285,55.6,1,0,0
5.967882,56.1898164752626,3.5,236.428943198285,55.5,1,0,0
6.510417,56.2991026702552,3.6,236.428943198285,55.4,1,0,0
5.967882,56.3388492104449,3.7,236.428943198285,55.3,1,0,0
6.600839,56.3785823182115,3.8,236.428943198285,55.2,1,0,0
6.600839,56.1103368273063,3.9,236.428943198285,55.1,1,0,0
6.600839,56.4680019593209,4.0,236.428943198285,55.0,1,0,0
6.600839,56.2991026702552,4.1,236.428943198285,54.9,1,0,0
6.600839,56.1699364889561,4.2,236.428943198285,54.8,1,0,0
7.866754,56.4083888652479,4.3,236.428943198285,54.7,1,0,0
6.510417,56.3885223113647,4.4,236.428943198285,54.6,1,0,0
6.600839,56.0308437469269,4.5,236.428943198285,54.5,1,0,0
5.967882,56.1202633880364,4.6,236.428943198285,54.4,1,0,0
6.600839,56.1997430359926,4.7,236.428943198285,54.3,1,0,0
7.866754,56.1401433743428,4.8,236.428943198285,54.2,1,0,0
7.866754,56.2991026702552,4.9,236.428943198285,54.1,1,0,0
7.866754,56.4978085063574,5.0,236.428943198285,54.0,1,0,0
7.776331,56.1401433743428,5.1,236.428943198285,53.9,1,0,0
7.776331,55.842077903978,5.2,236.428943198285,53.8,1,0,0
7.776331,56.4878819456273,5.3,236.428943198285,53.7,1,0,0
5.87746,56.1202633880364,5.4,236.428943198285,53.6,1,0,0
5.967882,56.3984488720947,5.5,236.428943198285,53.5,1,0,0
5.967882,56.3686557574814,5.6,236.428943198285,53.4,1,0,0
5.967882,56.1600099282261,5.7,236.428943198285,53.3,1,0,0
5.967882,56.2991026702552,5.8,236.428943198285,53.2,1,0,0
7.866754,56.2394895761823,5.9,236.428943198285,53.1,1,0,0
6.600839,56.8256805237586,6.0,236.428943198285,53.0,1,0,0
5.967882,56.0904568409999,6.1,236.428943198285,52.9,1,0,0
6.600839,55.9811706460072,6.2,236.428943198285,52.8,1,0,0
5.967882,56.1699364889561,6.3,236.428943198285,52.7,1,0,0
5.967882,55.901690998051,6.4,236.428943198285,52.6,1,0,0
6.600839,56.0308437469269,6.5,236.428943198285,52.5,1,0,0
4.701968,55.7228517158321,6.6,236.428943198285,52.4,1,0,0
5.967882,56.1997430359926,6.7,236.428943198285,52.3,1,0,0
6.600839,56.4183288584011,6.8,236.428943198285,52.2,1,0,0
6.058305,56.5077484995106,6.9,236.428943198285,52.1,1,0,0
5.425347,56.219623022299,7.0,236.428943198285,52.0,1,0,0
4.701968,56.2692961232188,7.1,236.428943198285,51.9,1,0,0
5.967882,56.666707795423,7.2,236.428943198285,51.8,1,0,0
5.967882,55.8222113500948,7.3,236.428943198285,51.7,1,0,0
4.611545,55.9314975450875,7.4,236.428943198285,51.6,1,0,0
2.803096,56.219623022299,7.5,236.428943198285,51.5,1,0,0
2.803096,56.0507237332334,7.6,236.428943198285,51.4,1,0,0
13.47295,56.0209171861969,7.7,236.428943198285,51.3,1,0,0
9.675202,56.0606502939634,7.8,236.428943198285,51.2,1,0,0
7.866754,56.1798764821093,7.9,236.428943198285,51.1,1,0,0
7.866754,55.8321379108248,8.0,236.428943198285,51.0,1,0,0
8.499711,56.2593561300655,8.1,236.428943198285,50.9,1,0,0
7.776331,56.1997430359926,8.2,236.428943198285,50.8,1,0,0
5.967882,56.4580753985908,8.3,236.428943198285,50.7,1,0,0
4.701968,56.3984488720947,8.4,236.428943198285,50.6,1,0,0
8.499711,56.2692961232188,8.5,236.428943198285,50.5,1,0,0
7.866754,56.1600099282261,8.6,236.428943198285,50.4,1,0,0
11.57407,56.4282554191312,8.7,236.428943198285,50.3,1,0,0
9.765625,56.3388492104449,8.8,236.428943198285,50.2,1,0,0
14.73886,56.219623022299,8.9,236.428943198285,50.1,1,0,0
14.73886,56.3388492104449,9.0,236.428943198285,50.0,1,0,0
8.499711,56.59716814062,9.1,236.428943198285,49.9,1,0,0
5.967882,56.4779419524741,9.2,236.428943198285,49.8,1,0,0
7.866754,56.5077484995106,9.3,236.428943198285,49.7,1,0,0
7.866754,56.3686557574814,9.4,236.428943198285,49.6,1,0,0
7.866754,56.2991026702552,9.5,236.428943198285,49.5,1,0,0
6.600839,56.3686557574814,9.6,236.428943198285,49.4,1,0,0
7.866754,56.4878819456273,9.7,236.428943198285,49.3,1,0,0
8.318866,56.2494295693355,9.8,236.428943198285,49.2,1,0,0
8.499711,56.0109771930437,9.9,236.428943198285,49.1,1,0,0
8.590133,56.0209171861969,10.0,236.428943198285,49.0,1,0,0
13.47295,56.4680019593209,10.1,236.428943198285,48.9,1,0,0
16.00477,56.3885223113647,10.2,236.428943198285,48.8,1,0,0
11.57407,56.1500699350728,10.3,236.428943198285,48.7,1,0,0
11.57407,56.4381954122844,10.4,236.428943198285,48.6,1,0,0
10.94112,56.7660674296856,10.5,236.428943198285,48.5,1,0,0
10.94112,56.5872281474668,10.6,236.428943198285,48.4,1,0,0
9.675202,56.3388492104449,10.7,236.428943198285,48.3,1,0,0
6.510417,56.1699364889561,10.8,236.428943198285,48.2,1,0,0
6.600839,55.971230652854,10.9,236.428943198285,48.1,1,0,0
9.765625,56.5474816072771,11.0,236.428943198285,48.0,1,0,0
7.776331,56.3785823182115,11.1,236.428943198285,47.9,1,0,0
7.866754,56.1997430359926,11.2,236.428943198285,47.8,1,0,0
7.866754,56.1401433743428,11.3,236.428943198285,47.7,1,0,0
7.866754,56.0308437469269,11.4,236.428943198285,47.6,1,0,0
7.866754,55.8023313637883,11.5,236.428943198285,47.5,1,0,0
8.499711,56.279236116372,11.6,236.428943198285,47.4,1,0,0
8.499711,55.8619444578613,11.7,236.428943198285,47.3,1,0,0
8.499711,56.4680019593209,11.8,236.428943198285,47.2,1,0,0
5.967882,56.0904568409999,11.9,236.428943198285,47.1,1,0,0
2.803096,56.4381954122844,12.0,236.428943198285,47.0,1,0,0
2.803096,56.1500699350728,12.1,236.428943198285,46.9,1,0,0
4.701968,56.219623022299,12.2,236.428943198285,46.8,1,0,0
4.701968,56.3686557574814,12.3,236.428943198285,46.7,1,0,0
3.888165,56.656781234693,12.4,236.428943198285,46.6,1,0,0
2.712674,55.842077903978,12.5,236.428943198285,46.5,1,0,0
0.0,56.2394895761823,12.6,236.428943198285,46.4,1,0,0
5.967882,56.1898164752626,12.7,236.428943198285,46.3,1,0,0
6.148726,56.2494295693355,12.8,236.428943198285,46.2,1,0,0
6.148726,56.7759939904157,12.9,236.428943198285,46.1,1,0,0
11.57407,56.0010371998905,13.0,236.428943198285,46.0,1,0,0
10.94112,55.9811706460072,13.1,236.428943198285,45.9,1,0,0
13.47295,56.3090426634085,13.2,236.428943198285,45.8,1,0,0
12.83999,56.3686557574814,13.3,236.428943198285,45.7,1,0,0
9.765625,56.5673615935835,13.4,236.428943198285,45.6,1,0,0
9.675202,56.4282554191312,13.5,236.428943198285,45.5,1,0,0
10.94112,56.1302033811896,13.6,236.428943198285,45.4,1,0,0
11.57407,56.4083888652479,13.7,236.428943198285,45.3,1,0,0
9.765625,56.4083888652479,13.8,236.428943198285,45.2,1,0,0
8.409288,56.4481354054376,13.9,236.428943198285,45.1,1,0,0
7.866754,56.0805302802699,14.0,236.428943198285,45.0,1,0,0
11.03154,56.4580753985908,14.1,236.428943198285,44.9,1,0,0
12.83999,56.8157405306054,14.2,236.428943198285,44.8,1,0,0
14.73886,56.0904568409999,14.3,236.428943198285,44.7,1,0,0
16.63773,56.4282554191312,14.4,236.428943198285,44.6,1,0,0
18.5366,56.60709470135,14.5,236.428943198285,44.5,1,0,0
17.90365,56.2394895761823,14.6,236.428943198285,44.4,1,0,0
14.73886,56.1401433743428,14.7,236.428943198285,44.3,1,0,0
14.73886,56.1997430359926,14.8,236.428943198285,44.2,1,0,0
15.19097,55.7228517158321,14.9,236.428943198285,44.1,1,0,0
16.00477,56.0606502939634,15.0,236.428943198285,44.0,1,0,0
14.73886,56.3885223113647,15.1,236.428943198285,43.9,1,0,0
14.73886,56.5474816072771,15.2,236.428943198285,43.8,1,0,0
12.83999,56.5276150533938,15.3,236.428943198285,43.7,1,0,0
16.00477,56.2692961232188,15.4,236.428943198285,43.6,1,0,0
17.90365,56.4779419524741,15.5,236.428943198285,43.5,1,0,0
18.5366,56.4481354054376,15.6,236.428943198285,43.4,1,0,0
17.90365,56.3885223113647,15.7,236.428943198285,43.3,1,0,0
17.90365,56.0407837400802,15.8,236.428943198285,43.2,1,0,0
18.5366,56.5673615935835,15.9,236.428943198285,43.1,1,0,0
16.00477,56.4878819456273,16.0,236.428943198285,43.0,1,0,0
13.47295,56.1997430359926,16.1,236.428943198285,42.9,1,0,0
16.63773,56.5176750602406,16.2,236.428943198285,42.8,1,0,0
17.90365,56.3885223113647,16.3,236.428943198285,42.7,1,0,0
12.83999,56.6468412415398,16.4,236.428943198285,42.6,1,0,0
12.83999,56.5276150533938,16.5,236.428943198285,42.5,1,0,0
9.765625,56.2692961232188,16.6,236.428943198285,42.4,1,0,0
14.73886,56.5077484995106,16.7,236.428943198285,42.3,1,0,0
16.63773,56.348775771175,16.8,236.428943198285,42.2,1,0,0
16.63773,56.0308437469269,16.9,236.428943198285,42.1,1,0,0
19.71209,56.3189692241385,17.0,236.428943198285,42.0,1,0,0
19.80252,56.3885223113647,17.1,236.428943198285,41.9,1,0,0
20.5259,56.1103368273063,17.2,236.428943198285,41.8,1,0,0
23.60026,56.2394895761823,17.3,236.428943198285,41.7,1,0,0
24.77575,56.4083888652479,17.4,236.428943198285,41.6,1,0,0
23.60026,56.3686557574814,17.5,236.428943198285,41.5,1,0,0
23.41941,56.289162677102,17.6,236.428943198285,41.4,1,0,0
22.87688,56.5276150533938,17.7,236.428943198285,41.3,1,0,0
23.60026,56.219623022299,17.8,236.428943198285,41.2,1,0,0
23.60026,56.0904568409999,17.9,236.428943198285,41.1,1,0,0
23.60026,56.1401433743428,18.0,236.428943198285,41.0,1,0,0
21.70139,56.0805302802699,18.1,236.428943198285,40.9,1,0,0
21.70139,56.3885223113647,18.2,236.428943198285,40.8,1,0,0
28.5735,56.5077484995106,18.3,236.428943198285,40.7,1,0,0
26.76505,56.4282554191312,18.4,236.428943198285,40.6,1,0,0
21.70139,56.0805302802699,18.5,236.428943198285,40.5,1,0,0
21.70139,56.1699364889561,18.6,236.428943198285,40.4,1,0,0
26.13209,56.2096830291458,18.7,236.428943198285,40.3,1,0,0
19.80252,56.4878819456273,18.8,236.428943198285,40.2,1,0,0
26.13209,56.4978085063574,18.9,236.428943198285,40.1,1,0,0
26.13209,56.2593561300655,19.0,236.428943198285,40.0,1,0,0
26.13209,56.4978085063574,19.1,236.428943198285,39.9,1,0,0
26.13209,56.4282554191312,19.2,236.428943198285,39.8,1,0,0
26.13209,56.2394895761823,19.3,236.428943198285,39.7,1,0,0
26.76505,56.289162677102,19.4,236.428943198285,39.6,1,0,0
29.83941,56.1500699350728,19.5,236.428943198285,39.5,1,0,0
29.11603,56.3984488720947,19.6,236.428943198285,39.4,1,0,0
28.84476,56.6170346945033,19.7,236.428943198285,39.3,1,0,0
29.83941,56.2593561300655,19.8,236.428943198285,39.2,1,0,0
31.73828,56.4878819456273,19.9,236.428943198285,39.1,1,0,0
31.73828,56.2593561300655,20.0,236.428943198285,39.0,1,0,0
31.37659,56.3189692241385,20.1,236.428943198285,38.9,1,0,0
29.92983,56.4878819456273,20.2,236.428943198285,38.8,1,0,0
26.67463,55.9314975450875,20.3,236.428943198285,38.7,1,0,0
29.92983,55.8122713569416,20.4,236.428943198285,38.6,1,0,0
26.5842,55.7129117226789,20.5,236.428943198285,38.5,1,0,0
26.04167,56.1103368273063,20.6,236.428943198285,38.4,1,0,0
27.94054,56.1302033811896,20.7,236.428943198285,38.3,1,0,0
26.76505,55.9911106391604,20.8,236.428943198285,38.2,1,0,0
26.76505,56.1202633880364,20.9,236.428943198285,38.1,1,0,0
29.92983,56.3388492104449,21.0,236.428943198285,38.0,1,0,0
31.73828,56.3289092172917,21.1,236.428943198285,37.9,1,0,0
33.0042,56.3587157643282,21.2,236.428943198285,37.8,1,0,0
34.90307,55.8122713569416,21.3,236.428943198285,37.7,1,0,0
36.80194,56.3090426634085,21.4,236.428943198285,37.6,1,0,0
